2012-11-07 10:06:24 status unpacked dash 0.5.5.1-7.4
2012-11-07 10:06:24 status unpacked dash 0.5.5.1-7.4
2012-11-07 10:06:24 install libdb4.8 <none> 4.8.30-2
2012-11-07 10:06:24 status half-installed libdb4.8 4.8.30-2
2012-11-07 10:06:24 status unpacked libdb4.8 4.8.30-2
2012-11-07 10:06:24 status unpacked libdb4.8 4.8.30-2
2012-11-07 10:06:24 install debconf-i18n <none> 1.5.36.1
2012-11-07 10:06:24 status half-installed debconf-i18n 1.5.36.1
2012-11-07 10:06:24 status unpacked debconf-i18n 1.5.36.1
2012-11-07 10:06:24 status unpacked debconf-i18n 1.5.36.1
2012-11-07 10:06:25 install debconf <none> 1.5.36.1
2012-11-07 10:06:25 status half-installed debconf 1.5.36.1
2012-11-07 10:06:25 status unpacked debconf 1.5.36.1
2012-11-07 10:06:25 status unpacked debconf 1.5.36.1
2012-11-07 10:06:25 install debianutils <none> 3.4
2012-11-07 10:06:25 status half-installed debianutils 3.4
2012-11-07 10:06:25 status unpacked debianutils 3.4
2012-11-07 10:06:25 status unpacked debianutils 3.4
2012-11-07 10:06:25 install diffutils <none> 1:3.0-1
2012-11-07 10:06:25 status half-installed diffutils 1:3.0-1
2012-11-07 10:06:25 status unpacked diffutils 1:3.0-1
2012-11-07 10:06:25 status unpacked diffutils 1:3.0-1
2012-11-07 10:06:26 upgrade dpkg 1.15.8.13 1.15.8.13
2012-11-07 10:06:26 status half-configured dpkg 1.15.8.13
2012-11-07 10:06:26 status unpacked dpkg 1.15.8.13
2012-11-07 10:06:26 status half-installed dpkg 1.15.8.13
2012-11-07 10:06:26 status half-installed dpkg 1.15.8.13
2012-11-07 10:06:26 status unpacked dpkg 1.15.8.13
2012-11-07 10:06:26 status unpacked dpkg 1.15.8.13
2012-11-07 10:06:26 install e2fslibs <none> 1.41.12-4stable1
2012-11-07 10:06:26 status half-installed e2fslibs 1.41.12-4stable1
2012-11-07 10:06:26 status unpacked e2fslibs 1.41.12-4stable1
2012-11-07 10:06:26 status unpacked e2fslibs 1.41.12-4stable1
2012-11-07 10:06:27 install e2fsprogs <none> 1.41.12-4stable1
2012-11-07 10:06:27 status half-installed e2fsprogs 1.41.12-4stable1
2012-11-07 10:06:27 status unpacked e2fsprogs 1.41.12-4stable1
2012-11-07 10:06:27 status unpacked e2fsprogs 1.41.12-4stable1
2012-11-07 10:06:27 install libcomerr2 <none> 1.41.12-4stable1
2012-11-07 10:06:27 status half-installed libcomerr2 1.41.12-4stable1
2012-11-07 10:06:27 status unpacked libcomerr2 1.41.12-4stable1
2012-11-07 10:06:27 status unpacked libcomerr2 1.41.12-4stable1
2012-11-07 10:06:27 install libss2 <none> 1.41.12-4stable1
2012-11-07 10:06:27 status half-installed libss2 1.41.12-4stable1
2012-11-07 10:06:27 status unpacked libss2 1.41.12-4stable1
2012-11-07 10:06:27 status unpacked libss2 1.41.12-4stable1
2012-11-07 10:06:27 install libc-bin <none> 2.11.3-4
2012-11-07 10:06:27 status half-installed libc-bin 2.11.3-4
2012-11-07 10:06:28 status unpacked libc-bin 2.11.3-4
2012-11-07 10:06:28 status unpacked libc-bin 2.11.3-4
2012-11-07 10:06:28 upgrade libc6 2.11.3-4 2.11.3-4
2012-11-07 10:06:28 status half-configured libc6 2.11.3-4
2012-11-07 10:06:28 status unpacked libc6 2.11.3-4
2012-11-07 10:06:28 status half-installed libc6 2.11.3-4
2012-11-07 10:06:31 status half-installed libc6 2.11.3-4
2012-11-07 10:06:31 status unpacked libc6 2.11.3-4
2012-11-07 10:06:31 status unpacked libc6 2.11.3-4
2012-11-07 10:06:31 install findutils <none> 4.4.2-1+b1
2012-11-07 10:06:31 status half-installed findutils 4.4.2-1+b1
2012-11-07 10:06:31 status unpacked findutils 4.4.2-1+b1
2012-11-07 10:06:31 status unpacked findutils 4.4.2-1+b1
2012-11-07 10:06:31 install gcc-4.4-base <none> 4.4.5-8
2012-11-07 10:06:31 status half-installed gcc-4.4-base 4.4.5-8
2012-11-07 10:06:31 status unpacked gcc-4.4-base 4.4.5-8
2012-11-07 10:06:31 status unpacked gcc-4.4-base 4.4.5-8
2012-11-07 10:06:32 install libgcc1 <none> 1:4.4.5-8
2012-11-07 10:06:32 status half-installed libgcc1 1:4.4.5-8
2012-11-07 10:06:32 status unpacked libgcc1 1:4.4.5-8
2012-11-07 10:06:32 status unpacked libgcc1 1:4.4.5-8
2012-11-07 10:06:32 install libstdc++6 <none> 4.4.5-8
2012-11-07 10:06:32 status half-installed libstdc++6 4.4.5-8
2012-11-07 10:06:32 status unpacked libstdc++6 4.4.5-8
2012-11-07 10:06:32 status unpacked libstdc++6 4.4.5-8
2012-11-07 10:06:32 install grep <none> 2.6.3-3
2012-11-07 10:06:32 status half-installed grep 2.6.3-3
2012-11-07 10:06:32 status unpacked grep 2.6.3-3
2012-11-07 10:06:32 status unpacked grep 2.6.3-3
2012-11-07 10:06:32 install gzip <none> 1.3.12-9
2012-11-07 10:06:32 status half-installed gzip 1.3.12-9
2012-11-07 10:06:33 status unpacked gzip 1.3.12-9
2012-11-07 10:06:33 status unpacked gzip 1.3.12-9
2012-11-07 10:06:33 install hostname <none> 3.04
2012-11-07 10:06:33 status half-installed hostname 3.04
2012-11-07 10:06:33 status unpacked hostname 3.04
2012-11-07 10:06:33 status unpacked hostname 3.04
2012-11-07 10:06:33 install insserv <none> 1.14.0-2
2012-11-07 10:06:33 status half-installed insserv 1.14.0-2
2012-11-07 10:06:33 status unpacked insserv 1.14.0-2
2012-11-07 10:06:33 status unpacked insserv 1.14.0-2
2012-11-07 10:06:33 install lsb-base <none> 3.2-23.2squeeze1
2012-11-07 10:06:33 status half-installed lsb-base 3.2-23.2squeeze1
2012-11-07 10:06:33 status unpacked lsb-base 3.2-23.2squeeze1
2012-11-07 10:06:33 status unpacked lsb-base 3.2-23.2squeeze1
2012-11-07 10:06:34 install liblocale-gettext-perl <none> 1.05-6
2012-11-07 10:06:34 status half-installed liblocale-gettext-perl 1.05-6
2012-11-07 10:06:34 status unpacked liblocale-gettext-perl 1.05-6
2012-11-07 10:06:34 status unpacked liblocale-gettext-perl 1.05-6
2012-11-07 10:06:34 install libselinux1 <none> 2.0.96-1
2012-11-07 10:06:34 status half-installed libselinux1 2.0.96-1
2012-11-07 10:06:34 status unpacked libselinux1 2.0.96-1
2012-11-07 10:06:34 status unpacked libselinux1 2.0.96-1
2012-11-07 10:06:34 install libsepol1 <none> 2.0.41-1
2012-11-07 10:06:34 status half-installed libsepol1 2.0.41-1
2012-11-07 10:06:34 status unpacked libsepol1 2.0.41-1
2012-11-07 10:06:34 status unpacked libsepol1 2.0.41-1
2012-11-07 10:06:34 install libtext-charwidth-perl <none> 0.04-6
2012-11-07 10:06:34 status half-installed libtext-charwidth-perl 0.04-6
2012-11-07 10:06:34 status unpacked libtext-charwidth-perl 0.04-6
2012-11-07 10:06:34 status unpacked libtext-charwidth-perl 0.04-6
2012-11-07 10:06:35 install libtext-iconv-perl <none> 1.7-2
2012-11-07 10:06:35 status half-installed libtext-iconv-perl 1.7-2
2012-11-07 10:06:35 status unpacked libtext-iconv-perl 1.7-2
2012-11-07 10:06:35 status unpacked libtext-iconv-perl 1.7-2
2012-11-07 10:06:35 install libtext-wrapi18n-perl <none> 0.06-7
2012-11-07 10:06:35 status half-installed libtext-wrapi18n-perl 0.06-7
2012-11-07 10:06:35 status unpacked libtext-wrapi18n-perl 0.06-7
2012-11-07 10:06:35 status unpacked libtext-wrapi18n-perl 0.06-7
2012-11-07 10:06:35 upgrade mawk 1.3.3-15 1.3.3-15
2012-11-07 10:06:35 status half-configured mawk 1.3.3-15
2012-11-07 10:06:35 status unpacked mawk 1.3.3-15
2012-11-07 10:06:35 status half-installed mawk 1.3.3-15
2012-11-07 10:06:35 status half-installed mawk 1.3.3-15
2012-11-07 10:06:35 status unpacked mawk 1.3.3-15
2012-11-07 10:06:35 status unpacked mawk 1.3.3-15
2012-11-07 10:06:35 install libncurses5 <none> 5.7+20100313-5
2012-11-07 10:06:35 status half-installed libncurses5 5.7+20100313-5
2012-11-07 10:06:36 status unpacked libncurses5 5.7+20100313-5
2012-11-07 10:06:36 status unpacked libncurses5 5.7+20100313-5
2012-11-07 10:06:36 install ncurses-base <none> 5.7+20100313-5
2012-11-07 10:06:36 status half-installed ncurses-base 5.7+20100313-5
2012-11-07 10:06:36 status unpacked ncurses-base 5.7+20100313-5
2012-11-07 10:06:36 status unpacked ncurses-base 5.7+20100313-5
2012-11-07 10:06:36 install ncurses-bin <none> 5.7+20100313-5
2012-11-07 10:06:36 status half-installed ncurses-bin 5.7+20100313-5
2012-11-07 10:06:36 status unpacked ncurses-bin 5.7+20100313-5
2012-11-07 10:06:36 status unpacked ncurses-bin 5.7+20100313-5
2012-11-07 10:06:36 install libpam-modules <none> 1.1.1-6.1+squeeze1
2012-11-07 10:06:36 status half-installed libpam-modules 1.1.1-6.1+squeeze1
2012-11-07 10:06:37 status unpacked libpam-modules 1.1.1-6.1+squeeze1
2012-11-07 10:06:37 status unpacked libpam-modules 1.1.1-6.1+squeeze1
2012-11-07 10:06:38 install libpam-runtime <none> 1.1.1-6.1+squeeze1
2012-11-07 10:06:38 status half-installed libpam-runtime 1.1.1-6.1+squeeze1
2012-11-07 10:06:38 status unpacked libpam-runtime 1.1.1-6.1+squeeze1
2012-11-07 10:06:38 status unpacked libpam-runtime 1.1.1-6.1+squeeze1
2012-11-07 10:06:38 install libpam0g <none> 1.1.1-6.1+squeeze1
2012-11-07 10:06:38 status half-installed libpam0g 1.1.1-6.1+squeeze1
2012-11-07 10:06:38 status unpacked libpam0g 1.1.1-6.1+squeeze1
2012-11-07 10:06:38 status unpacked libpam0g 1.1.1-6.1+squeeze1
2012-11-07 10:06:38 upgrade perl-base 5.10.1-17squeeze3 5.10.1-17squeeze3
2012-11-07 10:06:38 status half-configured perl-base 5.10.1-17squeeze3
2012-11-07 10:06:38 status unpacked perl-base 5.10.1-17squeeze3
2012-11-07 10:06:38 status half-installed perl-base 5.10.1-17squeeze3
2012-11-07 10:06:39 status half-installed perl-base 5.10.1-17squeeze3
2012-11-07 10:06:39 status unpacked perl-base 5.10.1-17squeeze3
2012-11-07 10:06:39 status unpacked perl-base 5.10.1-17squeeze3
2012-11-07 10:06:39 install sed <none> 4.2.1-7
2012-11-07 10:06:39 status half-installed sed 4.2.1-7
2012-11-07 10:06:39 status unpacked sed 4.2.1-7
2012-11-07 10:06:39 status unpacked sed 4.2.1-7
2012-11-07 10:06:39 install sensible-utils <none> 0.0.4
2012-11-07 10:06:39 status half-installed sensible-utils 0.0.4
2012-11-07 10:06:39 status unpacked sensible-utils 0.0.4
2012-11-07 10:06:39 status unpacked sensible-utils 0.0.4
2012-11-07 10:06:39 install login <none> 1:4.1.4.2+svn3283-2+squeeze1
2012-11-07 10:06:39 status half-installed login 1:4.1.4.2+svn3283-2+squeeze1
2012-11-07 10:06:40 status unpacked login 1:4.1.4.2+svn3283-2+squeeze1
2012-11-07 10:06:40 status unpacked login 1:4.1.4.2+svn3283-2+squeeze1
2012-11-07 10:06:40 install passwd <none> 1:4.1.4.2+svn3283-2+squeeze1
2012-11-07 10:06:40 status half-installed passwd 1:4.1.4.2+svn3283-2+squeeze1
2012-11-07 10:06:40 status unpacked passwd 1:4.1.4.2+svn3283-2+squeeze1
2012-11-07 10:06:40 status unpacked passwd 1:4.1.4.2+svn3283-2+squeeze1
2012-11-07 10:06:40 install libslang2 <none> 2.2.2-4
2012-11-07 10:06:40 status half-installed libslang2 2.2.2-4
2012-11-07 10:06:40 status unpacked libslang2 2.2.2-4
2012-11-07 10:06:40 status unpacked libslang2 2.2.2-4
2012-11-07 10:06:41 install initscripts <none> 2.88dsf-13.1+squeeze1
2012-11-07 10:06:41 status half-installed initscripts 2.88dsf-13.1+squeeze1
2012-11-07 10:06:41 status unpacked initscripts 2.88dsf-13.1+squeeze1
2012-11-07 10:06:41 status unpacked initscripts 2.88dsf-13.1+squeeze1
2012-11-07 10:06:41 install sysv-rc <none> 2.88dsf-13.1+squeeze1
2012-11-07 10:06:41 status half-installed sysv-rc 2.88dsf-13.1+squeeze1
2012-11-07 10:06:41 status unpacked sysv-rc 2.88dsf-13.1+squeeze1
2012-11-07 10:06:41 status unpacked sysv-rc 2.88dsf-13.1+squeeze1
2012-11-07 10:06:41 install sysvinit-utils <none> 2.88dsf-13.1+squeeze1
2012-11-07 10:06:41 status half-installed sysvinit-utils 2.88dsf-13.1+squeeze1
2012-11-07 10:06:41 status unpacked sysvinit-utils 2.88dsf-13.1+squeeze1
2012-11-07 10:06:41 status unpacked sysvinit-utils 2.88dsf-13.1+squeeze1
2012-11-07 10:06:42 install sysvinit <none> 2.88dsf-13.1+squeeze1
2012-11-07 10:06:42 status half-installed sysvinit 2.88dsf-13.1+squeeze1
2012-11-07 10:06:42 status unpacked sysvinit 2.88dsf-13.1+squeeze1
2012-11-07 10:06:42 status unpacked sysvinit 2.88dsf-13.1+squeeze1
2012-11-07 10:06:42 install tar <none> 1.23-3
2012-11-07 10:06:42 status half-installed tar 1.23-3
2012-11-07 10:06:42 status unpacked tar 1.23-3
2012-11-07 10:06:42 status unpacked tar 1.23-3
2012-11-07 10:06:42 install tzdata <none> 2012c-0squeeze1
2012-11-07 10:06:42 status half-installed tzdata 2012c-0squeeze1
2012-11-07 10:06:43 status unpacked tzdata 2012c-0squeeze1
2012-11-07 10:06:43 status unpacked tzdata 2012c-0squeeze1
2012-11-07 10:06:43 install bsdutils <none> 1:2.17.2-9
2012-11-07 10:06:43 status half-installed bsdutils 1:2.17.2-9
2012-11-07 10:06:43 status unpacked bsdutils 1:2.17.2-9
2012-11-07 10:06:43 status unpacked bsdutils 1:2.17.2-9
2012-11-07 10:06:43 install libblkid1 <none> 2.17.2-9
2012-11-07 10:06:43 status half-installed libblkid1 2.17.2-9
2012-11-07 10:06:43 status unpacked libblkid1 2.17.2-9
2012-11-07 10:06:43 status unpacked libblkid1 2.17.2-9
2012-11-07 10:06:44 install libuuid1 <none> 2.17.2-9
2012-11-07 10:06:44 status half-installed libuuid1 2.17.2-9
2012-11-07 10:06:44 status unpacked libuuid1 2.17.2-9
2012-11-07 10:06:44 status unpacked libuuid1 2.17.2-9
2012-11-07 10:06:44 install mount <none> 2.17.2-9
2012-11-07 10:06:44 status half-installed mount 2.17.2-9
2012-11-07 10:06:44 status unpacked mount 2.17.2-9
2012-11-07 10:06:44 status unpacked mount 2.17.2-9
2012-11-07 10:06:44 install util-linux <none> 2.17.2-9
2012-11-07 10:06:44 status half-installed util-linux 2.17.2-9
2012-11-07 10:06:44 status unpacked util-linux 2.17.2-9
2012-11-07 10:06:45 status unpacked util-linux 2.17.2-9
2012-11-07 10:06:45 install liblzma2 <none> 5.0.0-2
2012-11-07 10:06:45 status half-installed liblzma2 5.0.0-2
2012-11-07 10:06:45 status unpacked liblzma2 5.0.0-2
2012-11-07 10:06:45 status unpacked liblzma2 5.0.0-2
2012-11-07 10:06:45 install xz-utils <none> 5.0.0-2
2012-11-07 10:06:45 status half-installed xz-utils 5.0.0-2
2012-11-07 10:06:45 status unpacked xz-utils 5.0.0-2
2012-11-07 10:06:45 status unpacked xz-utils 5.0.0-2
2012-11-07 10:06:45 install zlib1g <none> 1:1.2.3.4.dfsg-3
2012-11-07 10:06:45 status half-installed zlib1g 1:1.2.3.4.dfsg-3
2012-11-07 10:06:45 status unpacked zlib1g 1:1.2.3.4.dfsg-3
2012-11-07 10:06:45 status unpacked zlib1g 1:1.2.3.4.dfsg-3
2012-11-07 10:06:46 startup packages configure
2012-11-07 10:06:46 configure ncurses-base 5.7+20100313-5 5.7+20100313-5
2012-11-07 10:06:46 status unpacked ncurses-base 5.7+20100313-5
2012-11-07 10:06:46 status unpacked ncurses-base 5.7+20100313-5
2012-11-07 10:06:46 status half-configured ncurses-base 5.7+20100313-5
2012-11-07 10:06:46 status installed ncurses-base 5.7+20100313-5
2012-11-07 10:06:46 configure sensible-utils 0.0.4 0.0.4
2012-11-07 10:06:46 status unpacked sensible-utils 0.0.4
2012-11-07 10:06:46 status half-configured sensible-utils 0.0.4
2012-11-07 10:06:46 status installed sensible-utils 0.0.4
2012-11-07 10:06:46 configure libc-bin 2.11.3-4 2.11.3-4
2012-11-07 10:06:46 status unpacked libc-bin 2.11.3-4
2012-11-07 10:06:46 status unpacked libc-bin 2.11.3-4
2012-11-07 10:06:46 status unpacked libc-bin 2.11.3-4
2012-11-07 10:06:46 status unpacked libc-bin 2.11.3-4
2012-11-07 10:06:46 status half-configured libc-bin 2.11.3-4
2012-11-07 10:06:46 status installed libc-bin 2.11.3-4
2012-11-07 10:06:46 configure gcc-4.4-base 4.4.5-8 4.4.5-8
2012-11-07 10:06:46 status unpacked gcc-4.4-base 4.4.5-8
2012-11-07 10:06:46 status half-configured gcc-4.4-base 4.4.5-8
2012-11-07 10:06:46 status installed gcc-4.4-base 4.4.5-8
2012-11-07 10:06:46 configure libc6 2.11.3-4 2.11.3-4
2012-11-07 10:06:46 status unpacked libc6 2.11.3-4
2012-11-07 10:06:46 status unpacked libc6 2.11.3-4
2012-11-07 10:06:46 status half-configured libc6 2.11.3-4
2012-11-07 10:06:48 status installed libc6 2.11.3-4
2012-11-07 10:06:48 configure debianutils 3.4 3.4
2012-11-07 10:06:48 status unpacked debianutils 3.4
2012-11-07 10:06:48 status half-configured debianutils 3.4
2012-11-07 10:06:48 status installed debianutils 3.4
2012-11-07 10:06:48 configure bsdutils 1:2.17.2-9 1:2.17.2-9
2012-11-07 10:06:48 status unpacked bsdutils 1:2.17.2-9
2012-11-07 10:06:48 status half-configured bsdutils 1:2.17.2-9
2012-11-07 10:06:48 status installed bsdutils 1:2.17.2-9
2012-11-07 10:06:48 configure libsepol1 2.0.41-1 2.0.41-1
2012-11-07 10:06:48 status unpacked libsepol1 2.0.41-1
2012-11-07 10:06:48 status half-configured libsepol1 2.0.41-1
2012-11-07 10:06:49 status installed libsepol1 2.0.41-1
2012-11-07 10:06:49 configure libgcc1 1:4.4.5-8 1:4.4.5-8
2012-11-07 10:06:49 status unpacked libgcc1 1:4.4.5-8
2012-11-07 10:06:49 status half-configured libgcc1 1:4.4.5-8
2012-11-07 10:06:49 status installed libgcc1 1:4.4.5-8
2012-11-07 10:06:49 configure libncurses5 5.7+20100313-5 5.7+20100313-5
2012-11-07 10:06:49 status unpacked libncurses5 5.7+20100313-5
2012-11-07 10:06:49 status half-configured libncurses5 5.7+20100313-5
2012-11-07 10:06:49 status installed libncurses5 5.7+20100313-5
2012-11-07 10:06:49 configure libattr1 1:2.4.44-2 1:2.4.44-2
2012-11-07 10:06:49 status unpacked libattr1 1:2.4.44-2
2012-11-07 10:06:49 status half-configured libattr1 1:2.4.44-2
2012-11-07 10:06:49 status installed libattr1 1:2.4.44-2
2012-11-07 10:06:49 configure e2fslibs 1.41.12-4stable1 1.41.12-4stable1
2012-11-07 10:06:49 status unpacked e2fslibs 1.41.12-4stable1
2012-11-07 10:06:49 status half-configured e2fslibs 1.41.12-4stable1
2012-11-07 10:06:49 status installed e2fslibs 1.41.12-4stable1
2012-11-07 10:06:49 configure base-passwd 3.5.22 3.5.22
2012-11-07 10:06:49 status unpacked base-passwd 3.5.22
2012-11-07 10:06:49 status half-configured base-passwd 3.5.22
2012-11-07 10:06:49 status installed base-passwd 3.5.22
2012-11-07 10:06:49 configure libcomerr2 1.41.12-4stable1 1.41.12-4stable1
2012-11-07 10:06:49 status unpacked libcomerr2 1.41.12-4stable1
2012-11-07 10:06:49 status half-configured libcomerr2 1.41.12-4stable1
2012-11-07 10:06:49 status installed libcomerr2 1.41.12-4stable1
2012-11-07 10:06:49 configure mawk 1.3.3-15 1.3.3-15
2012-11-07 10:06:49 status unpacked mawk 1.3.3-15
2012-11-07 10:06:49 status half-configured mawk 1.3.3-15
2012-11-07 10:06:49 status installed mawk 1.3.3-15
2012-11-07 10:06:49 configure libdb4.8 4.8.30-2 4.8.30-2
2012-11-07 10:06:49 status unpacked libdb4.8 4.8.30-2
2012-11-07 10:06:49 status half-configured libdb4.8 4.8.30-2
2012-11-07 10:06:50 status installed libdb4.8 4.8.30-2
2012-11-07 10:06:50 configure hostname 3.04 3.04
2012-11-07 10:06:50 status unpacked hostname 3.04
2012-11-07 10:06:50 status half-configured hostname 3.04
2012-11-07 10:06:50 status installed hostname 3.04
2012-11-07 10:06:50 configure libacl1 2.2.49-4 2.2.49-4
2012-11-07 10:06:50 status unpacked libacl1 2.2.49-4
2012-11-07 10:06:50 status half-configured libacl1 2.2.49-4
2012-11-07 10:06:50 status installed libacl1 2.2.49-4
2012-11-07 10:06:50 configure libslang2 2.2.2-4 2.2.2-4
2012-11-07 10:06:50 status unpacked libslang2 2.2.2-4
2012-11-07 10:06:50 status half-configured libslang2 2.2.2-4
2012-11-07 10:06:50 status installed libslang2 2.2.2-4
2012-11-07 10:06:50 configure libss2 1.41.12-4stable1 1.41.12-4stable1
2012-11-07 10:06:50 status unpacked libss2 1.41.12-4stable1
2012-11-07 10:06:50 status half-configured libss2 1.41.12-4stable1
2012-11-07 10:06:50 status installed libss2 1.41.12-4stable1
2012-11-07 10:06:50 configure liblzma2 5.0.0-2 5.0.0-2
2012-11-07 10:06:50 status unpacked liblzma2 5.0.0-2
2012-11-07 10:06:50 status half-configured liblzma2 5.0.0-2
2012-11-07 10:06:50 status installed liblzma2 5.0.0-2
